iter	Passed	Remaining
0	16	1672
1	29	1451
2	48	1561
3	62	1496
4	78	1499
5	95	1491
6	118	1578
7	138	1592
8	154	1557
9	173	1565
10	190	1543
11	218	1601
12	238	1598
13	262	1611
14	300	1705
15	334	1758
16	349	1708
17	385	1754
18	410	1748
19	428	1715
20	445	1676
21	460	1631
22	487	1631
23	503	1593
24	519	1559
25	549	1565
26	570	1543
27	587	1510
28	603	1477
29	615	1435
30	641	1427
31	666	1416
32	694	1409
33	711	1381
34	748	1390
35	764	1359
36	783	1334
37	795	1297
38	812	1271
39	825	1238
40	846	1218
41	867	1198
42	883	1170
43	903	1150
44	921	1126
45	938	1101
46	953	1074
47	970	1051
48	986	1027
49	1001	1001
50	1017	977
51	1032	952
52	1066	945
53	1142	973
54	1168	956
55	1205	947
56	1235	931
57	1258	911
58	1274	885
59	1305	870
60	1326	848
61	1344	823
62	1363	800
63	1384	778
64	1401	754
65	1421	732
66	1439	708
67	1456	685
68	1472	661
69	1497	641
70	1525	623
71	1543	600
72	1558	576
73	1570	551
74	1585	528
75	1596	504
76	1612	481
77	1630	459
78	1648	438
79	1670	417
80	1690	396
81	1705	374
82	1723	353
83	1742	331
84	1760	310
85	1772	288
86	1839	274
87	1866	254
88	1887	233
89	1913	212
90	1930	190
91	1951	169
92	1969	148
93	1985	126
94	2003	105
95	2019	84
96	2036	62
97	2053	41
98	2068	20
99	2081	0
